stem_id,station_m,x,y,diameter_m,gt_tree_id
1,0.0,423620.59297,5858117.82098,0.2307,10
1,0.5,423620.26673000003,5858118.188000001,0.2941,10
1,1.0,423619.94049,5858118.555020001,0.2941,10
1,1.5,423619.61425,5858118.922040001,0.346,10
1,2.0,423619.24723000004,5858119.28906,0.346,10
1,2.5,423618.92099,5858119.656080001,0.346,10
1,3.0,423618.55397,5858120.023100001,0.3647,10
1,3.5,423618.18695,5858120.390120001,0.346,10
1,4.0,423617.86071000004,5858120.716360001,0.346,10
1,4.5,423617.53447,5858121.083380001,0.346,10
1,5.0,423617.16745,5858121.4504,0.4078,10
1,5.5,423616.80043,5858121.81742,0.4078,10
1,6.0,423616.47419000004,5858122.1436600005,0.4078,10
1,6.5,423616.10717000003,5858122.551460001,0.346,10
1,7.0,423615.78093,5858122.877700001,0.4078,10
1,7.5,423615.41391,5858123.244720001,0.4078,10
1,8.0,423615.04689,5858123.611740001,0.4078,10
1,8.5,423614.72065000003,5858123.937980001,0.4078,10
1,9.0,423614.35363,5858124.305000001,0.4078,10
1,9.5,423614.02739,5858124.67202,0.4078,10
1,10.0,423613.66037,5858125.039040001,0.4078,10
1,10.5,423613.33413000003,5858125.3652800005,0.4078,10
1,11.0,423612.96711,5858125.7323,0.4078,10
1,11.5,423612.64087,5858126.099320001,0.4078,10
1,12.0,423612.27385,5858126.466340001,0.4614,10
1,12.5,423611.90683,5858126.8333600005,0.4614,10
1,13.0,423611.58059,5858127.20038,0.4078,10
1,13.5,423611.25435,5858127.526620001,0.4614,10
1,14.0,423610.88733,5858127.89364,0.4078,10
1,14.5,423610.56109000003,5858128.3014400005,0.4614,10
1,15.0,423610.23485,5858128.66846,0.4614,10
1,15.5,423609.90861,5858129.035480001,0.4614,10
1,16.0,423609.58237,5858129.402500001,0.4078,10
1,16.5,423609.21535,5858129.769520001,0.4614,10
1,17.0,423608.88911,5858130.13654,0.4614,10
1,17.5,423608.56287,5858130.503560001,0.4614,10
1,18.0,423608.19585,5858130.870580001,0.4078,10
1,18.5,423607.86961,5858131.237600001,0.4078,10
1,19.0,423607.54337,5858131.60462,0.4078,10
1,19.5,423607.21713,5858132.0124200005,0.4078,10
1,20.0,423606.89089000004,5858132.37944,0.4078,10
1,20.5,423606.56465,5858132.746460001,0.346,10
1,21.0,423606.23841,5858133.15426,0.346,10
1,21.5,423605.91217,5858133.521280001,0.346,10
1,22.0,423605.58593,5858133.888300001,0.346,10
1,22.5,423605.25969000004,5858134.25532,0.346,10
1,23.0,423604.89267000003,5858134.62234,0.346,10
1,23.5,423604.56643,5858134.989360001,0.4078,10
1,24.0,423604.28097,5858135.397160001,0.346,10
1,24.5,423603.91395,5858135.7234000005,0.2941,10
2,0.0,423608.35897,5858128.383,0.3363,9
2,0.5,423607.99195,5858128.750020001,0.4078,9
2,1.0,423607.70649,5858129.117040001,0.3363,9
2,1.5,423607.42103,5858129.524840001,0.3363,9
2,2.0,423607.17635,5858129.973420001,0.3363,9
2,2.5,423606.93167,5858130.422,0.2941,9
2,3.0,423606.68699,5858130.870580001,0.2941,9
2,3.5,423606.48309,5858131.31916,0.3262,9
2,4.0,423606.31997,5858131.80852,0.4756,9
2,4.5,423606.07529,5858132.216320001,0.4614,9
2,5.0,423605.70827,5858132.58334,0.5222,9
2,5.5,423605.38203000004,5858132.950360001,0.5222,9
2,6.0,423605.05579,5858133.2766,0.5767,9
2,6.5,423604.64799,5858133.64362,0.5222,9
2,7.0,423604.32175,5858133.969860001,0.5222,9
2,7.5,423603.95473,5858134.33688,0.5222,9
2,8.0,423603.62849000003,5858134.703900001,0.5222,9
2,8.5,423603.30225,5858135.070920001,0.5222,9
2,9.0,423602.93523,5858135.437940001,0.5158,9
2,9.5,423602.64977,5858135.845740001,0.5222,9
2,10.0,423602.32353,5858136.2127600005,0.5222,9
2,10.5,423601.95651,5858136.57978,0.5222,9
2,11.0,423601.63027,5858136.946800001,0.5222,9
2,11.5,423601.26325,5858137.313820001,0.5222,9
2,12.0,423600.89623,5858137.640060001,0.6921,9
2,12.5,423600.52921,5858137.9663,0.7519,9
2,13.0,423600.24375,5858138.374100001,0.6921,9
2,13.5,423599.91751,5858138.74112,0.6576,9
2,14.0,423599.55049,5858139.108140001,0.6211,9
2,14.5,423599.22425,5858139.475160001,0.637,9
2,15.0,423598.85723,5858139.842180001,0.637,9
2,15.5,423598.53099,5858140.168420001,0.637,9
2,16.0,423598.16397,5858140.535440001,0.637,9
2,16.5,423597.79695,5858140.861680001,0.637,9
2,17.0,423597.42993,5858141.228700001,0.6921,9
2,17.5,423597.06291000004,5858141.595720001,0.6921,9
2,18.0,423596.73667,5858141.921960001,0.7519,9
2,18.5,423596.41043,5858142.288980001,0.7519,9
2,19.0,423596.04341,5858142.656,0.7519,9
2,19.5,423595.67639000004,5858143.023020001,0.7016,9
2,20.0,423595.35015,5858143.3492600005,0.6921,9
2,20.5,423594.98313,5858143.71628,0.6921,9
2,21.0,423594.61611,5858144.083300001,0.637,9
2,21.5,423594.28987000004,5858144.450320001,0.637,9
2,22.0,423593.92285000003,5858144.8173400005,0.5767,9
2,22.5,423593.59661,5858145.143580001,0.5767,9
3,0.0,423709.08557,5858121.898980001,0.2941,29
3,0.5,423708.63699,5858122.102880001,0.2579,29
3,1.0,423708.18841,5858122.30678,0.2579,29
3,1.5,423707.73983000003,5858122.551460001,0.2579,29
3,2.0,423707.29125,5858122.79614,0.2579,29
3,2.5,423706.84267,5858123.040820001,0.2579,29
3,3.0,423706.39409,5858123.244720001,0.2941,29
3,3.5,423705.94551,5858123.40784,0.2941,29
3,4.0,423705.45615,5858123.570960001,0.2941,29
3,4.5,423705.00757,5858123.77486,0.2579,29
3,5.0,423704.55899,5858123.97876,0.2579,29
3,5.5,423704.11041,5858124.223440001,0.1824,29
3,6.0,423703.66183,5858124.46812,0.1824,29
3,6.5,423703.25403,5858124.712800001,0.2307,29
3,7.0,423702.80545,5858124.95748,0.2941,29
3,7.5,423702.39765,5858125.202160001,0.2941,29
3,8.0,423701.94907000003,5858125.487620001,0.3363,29
3,8.5,423701.54127,5858125.773080001,0.4392,29
3,9.0,423701.09269,5858126.017760001,0.4078,29
3,9.5,423700.64411,5858126.22166,0.4392,29
3,10.0,423700.19553,5858126.42556,0.4078,29
3,10.5,423699.74695,5858126.670240001,0.4078,29
3,11.0,423699.33915,5858126.91492,0.3363,29
3,11.5,423698.89057,5858127.159600001,0.2941,29
3,12.0,423698.44199,5858127.40428,0.2579,29
3,12.5,423697.99341,5858127.60818,0.3262,29
3,13.0,423697.54483,5858127.8120800005,0.3363,29
3,13.5,423697.09625,5858128.015980001,0.4614,29
3,14.0,423696.64767000003,5858128.260660001,0.4392,29
3,14.5,423696.19909,5858128.505340001,0.4614,29
3,15.0,423695.75051,5858128.750020001,0.5222,29
3,15.5,423695.34271,5858128.994700001,0.5471,29
3,16.0,423694.89413000003,5858129.239380001,0.4614,29
3,16.5,423694.48633,5858129.484060001,0.4078,29
3,17.0,423694.03775,5858129.769520001,0.3363,29
3,17.5,423693.58917,5858129.973420001,0.3647,29
3,18.0,423693.18137,5858130.218100001,0.4392,29
3,18.5,423692.73279000004,5858130.462780001,0.4756,29
3,19.0,423692.28421,5858130.707460001,0.4159,29
3,19.5,423691.83563,5858130.91136,0.4078,29
3,20.0,423691.38705,5858131.156040001,0.3647,29
4,0.0,423504.85933,5858091.92568,0.4078,71
4,0.5,423504.77777,5858092.41504,0.4078,71
4,1.0,423504.69621,5858092.9044,0.4078,71
4,1.5,423504.53309,5858093.39376,0.4078,71
4,2.0,423504.28841000004,5858093.8015600005,0.4078,71
4,2.5,423504.04373000003,5858094.250140001,0.4392,71
4,3.0,423503.79905000003,5858094.698720001,0.4078,71
4,3.5,423503.59515,5858095.1473,0.3262,71
4,4.0,423503.43203,5858095.63666,0.3363,71
4,4.5,423503.30969,5858096.085240001,0.4078,71
4,5.0,423503.14657,5858096.574600001,0.4078,71
4,5.5,423502.98345,5858097.063960001,0.3647,71
4,6.0,423502.82033,5858097.5125400005,0.3363,71
4,6.5,423502.61643,5858098.0019000005,0.3262,71
4,7.0,423502.41253000003,5858098.450480001,0.2941,71
4,7.5,423502.24941,5858098.899060001,0.3262,71
4,8.0,423502.04551,5858099.388420001,0.2941,71
4,8.5,423501.88239,5858099.837,0.2941,71
4,9.0,423501.71927,5858100.32636,0.2941,71
4,9.5,423501.51537000004,5858100.774940001,0.2579,71
4,10.0,423501.31147,5858101.22352,0.2307,71
4,10.5,423501.14835000003,5858101.672100001,0.1631,71
4,11.0,423500.98523,5858102.161460001,0.2307,71
4,11.5,423500.82211,5858102.650820001,0.3262,71
4,12.0,423500.61821,5858103.099400001,0.2941,71
4,12.5,423500.41431,5858103.54798,0.2447,71
4,13.0,423500.25119000004,5858104.03734,0.2579,71
4,13.5,423500.08807,5858104.485920001,0.2941,71
4,14.0,423499.88417000003,5858104.975280001,0.3363,71
4,14.5,423499.72105,5858105.42386,0.3647,71
4,15.0,423499.51715,5858105.872440001,0.4078,71
4,15.5,423499.31325,5858106.361800001,0.4078,71
4,16.0,423499.10935,5858106.810380001,0.3647,71
4,16.5,423498.94623,5858107.25896,0.3647,71
4,17.0,423498.74233000004,5858107.707540001,0.4078,71
4,17.5,423498.53843,5858108.196900001,0.4159,71
4,18.0,423498.33453,5858108.64548,0.4392,71
4,18.5,423498.13063,5858109.094060001,0.4392,71
4,19.0,423497.92673,5858109.542640001,0.4392,71
5,0.0,423697.58561,5858005.8391,0.2941,62
5,0.5,423697.38171,5858006.287680001,0.4392,62
5,1.0,423697.21859,5858006.777040001,0.4078,62
5,1.5,423697.01469000004,5858007.225620001,0.4392,62
5,2.0,423696.85157,5858007.714980001,0.4078,62
5,2.5,423696.68845,5858008.16356,0.4961,62
5,3.0,423696.56611,5858008.65292,0.5471,62
5,3.5,423696.36221,5858009.101500001,0.5158,62
5,4.0,423696.19909,5858009.590860001,0.5158,62
5,4.5,423696.03597,5858010.080220001,0.4392,62
5,5.0,423695.95441,5858010.569580001,0.4894,62
5,5.5,423695.83207,5858011.058940001,0.4961,62
5,6.0,423695.70973,5858011.50752,0.4961,62
5,6.5,423695.58739,5858011.99688,0.4961,62
5,7.0,423695.46505,5858012.48624,0.4894,62
5,7.5,423695.34271,5858012.9756000005,0.4392,62
5,8.0,423695.22037,5858013.4649600005,0.4078,62
5,8.5,423695.09803,5858013.9543200005,0.4392,62
5,9.0,423694.97569,5858014.4436800005,0.4894,62
5,9.5,423694.81257,5858014.892260001,0.4961,62
5,10.0,423694.64945,5858015.381620001,0.4756,62
5,10.5,423694.56789,5858015.870980001,0.5471,62
5,11.0,423694.44555,5858016.360340001,0.5709,62
5,11.5,423694.28243,5858016.808920001,0.4756,62
