stem_id,station_m,x,y,diameter_m,gt_tree_id
1,0.0,419901.7748760995,5853102.467263168,0.6909,13
1,0.5,419901.4728947009,5853102.869905033,0.5694,13
1,1.0,419901.1709133022,5853103.272546898,0.4502,13
1,1.5,419900.9360388811,5853103.708742252,0.4502,13
1,2.0,419900.7011644599,5853104.144937605,0.4244,13
1,2.5,419900.43273655005,5853104.54757947,0.4839,13
1,3.0,419900.13075515145,5853104.950221335,0.6331,13
1,3.5,419899.8623272416,5853105.386416689,0.6909,13
1,4.0,419899.5603458429,5853105.789058553,0.7503,13
1,4.5,419899.29191793303,5853106.225253907,0.7134,13
1,5.0,419898.98993653443,5853106.6278957715,0.7134,13
1,5.5,419898.6879551358,5853107.030537636,0.6609,13
1,6.0,419898.4195272259,5853107.433179501,0.6187,13
1,6.5,419898.151099316,5853107.8693748545,0.6331,13
1,7.0,419897.91622489487,5853108.3055702085,0.7228,13
1,7.5,419897.6813504737,5853108.7417655615,0.8191,13
1,8.0,419897.41292256385,5853109.144407427,0.8191,13
1,8.5,419897.14449465397,5853109.58060278,0.875,13
1,9.0,419896.84251325537,5853109.983244645,0.875,13
1,9.5,419896.5405318567,5853110.38588651,0.8541,13
1,10.0,419896.27210394683,5853110.788528374,0.8408,13
1,10.5,419896.00367603695,5853111.19117024,0.949,13
1,11.0,419895.66814114957,5853111.593812104,0.9003,13
1,11.5,419895.36615975096,5853111.996453969,0.875,13
1,12.0,419895.0977318411,5853112.399095834,0.875,13
1,12.5,419894.8293039312,5853112.835291187,0.7592,13
1,13.0,419894.52732253255,5853113.237933053,0.7503,13
1,13.5,419894.22534113395,5853113.640574917,0.7134,13
1,14.0,419893.92335973535,5853114.009663293,0.7259,13
1,14.5,419893.62137833674,5853114.412305158,0.7259,13
1,15.0,419893.3193969381,5853114.814947023,0.7134,13
1,15.5,419893.0174155395,5853115.217588888,0.7134,13
1,16.0,419892.7154341409,5853115.620230753,0.6711,13
1,16.5,419892.3798992535,5853115.989319129,0.6711,13
1,17.0,419892.0779178549,5853116.391960993,0.6711,13
1,17.5,419891.7759364562,5853116.794602858,0.6909,13
1,18.0,419891.50750854635,5853117.197244723,0.7503,13
1,18.5,419891.20552714774,5853117.599886588,0.7592,13
1,19.0,419890.90354574914,5853118.002528453,0.7592,13
1,19.5,419890.6015643505,5853118.405170318,0.7592,13
1,20.0,419890.26602946315,5853118.774258694,0.6909,13
1,20.5,419889.96404806455,5853119.176900558,0.7134,13
1,21.0,419889.6620666659,5853119.579542424,0.7134,13
1,21.5,419889.3600852673,5853119.9486308,0.7134,13
1,22.0,419889.0245503799,5853120.351272664,0.6909,13
1,22.5,419888.7225689813,5853120.753914529,0.6643,13
1,23.0,419888.38703409396,5853121.123002905,0.6643,13
1,23.5,419888.0850526953,5853121.52564477,0.6909,13
1,24.0,419887.7830712967,5853121.928286635,0.6643,13
1,24.5,419887.44753640937,5853122.297375011,0.6609,13
1,25.0,419887.1455550107,5853122.700016876,0.6711,13
1,25.5,419886.8435736121,5853123.10265874,0.6643,13
1,26.0,419886.5415922135,5853123.471747117,0.6711,13
1,26.5,419886.2060573261,5853123.874388982,0.6643,13
1,27.0,419885.9040759275,5853124.277030846,0.6643,13
