stem_id,station_m,x,y,diameter_m,gt_tree_id
1,0.0,417790.55079895735,5856119.20167147,0.7152,52
1,0.5,417790.34154295735,5856119.66203467,0.7683,52
1,1.0,417790.1532125573,5856120.12239787,0.7115,52
1,1.5,417789.98580775736,5856120.58276107,0.7941,52
1,2.0,417789.7974773573,5856121.043124271,0.805,52
1,2.5,417789.56729575736,5856121.503487471,0.8422,52
1,3.0,417789.33711415733,5856121.94292507,0.8628,52
1,3.5,417789.10693255736,5856122.38236267,0.8628,52
1,4.0,417788.87675095734,5856122.82180027,1.0881,52
1,4.5,417788.66749495734,5856123.28216347,1.0336,52
1,5.0,417788.43731335737,5856123.72160107,0.9015,52
1,5.5,417788.24898295733,5856124.18196427,0.8868,52
1,6.0,417788.06065255735,5856124.64232747,0.8799,52
1,6.5,417787.8723221573,5856125.10269067,0.8628,52
1,7.0,417787.6630661573,5856125.563053871,0.8618,52
1,7.5,417787.43288455735,5856126.00249147,0.9358,52
1,8.0,417787.26547975733,5856126.48378027,0.8254,52
1,8.5,417787.07714935736,5856126.94414347,0.9264,52
1,9.0,417786.86789335735,5856127.40450667,0.9544,52
1,9.5,417786.65863735735,5856127.84394427,0.9358,52
1,10.0,417786.44938135735,5856128.30430747,0.9264,52
1,10.5,417786.24012535735,5856128.76467067,0.9015,52
1,11.0,417786.03086935735,5856129.20410827,0.8628,52
1,11.5,417785.84253895737,5856129.66447147,0.8799,52
1,12.0,417785.65420855733,5856130.12483467,0.8618,52
1,12.5,417785.46587815735,5856130.585197871,0.914,52
1,13.0,417785.25662215735,5856131.045561071,0.9015,52
1,13.5,417785.04736615735,5856131.5059242705,0.9179,52
1,14.0,417784.83811015735,5856131.96628747,0.9553,52
1,14.5,417784.62885415734,5856132.40572507,0.9553,52
1,15.0,417784.41959815734,5856132.86608827,0.9734,52
1,15.5,417784.21034215734,5856133.32645147,0.9734,52
1,16.0,417783.9801605573,5856133.76588907,0.9734,52
2,0.0,417799.3395509573,5856147.9743714705,0.4899,46
2,0.5,417798.83733655734,5856148.05807387,0.4369,46
2,1.0,417798.3560477573,5856148.16270187,0.397,46
2,1.5,417797.87475895736,5856148.24640427,0.4604,46
2,2.0,417797.39347015735,5856148.41380907,0.4122,46
2,2.5,417796.91218135733,5856148.51843707,0.3451,46
2,3.0,417796.40996695735,5856148.56028827,0.3767,46
2,3.5,417795.90775255737,5856148.64399067,0.4623,46
2,4.0,417795.4473893573,5856148.79046987,0.3374,46
2,4.5,417794.96610055736,5856148.95787467,0.3576,46
2,5.0,417794.48481175734,5856149.10435387,0.4185,46
2,5.5,417794.0035229573,5856149.20898187,0.5584,46
2,6.0,417793.52223415737,5856149.35546107,0.6497,46
2,6.5,417793.0618709573,5856149.54379147,0.6902,46
2,7.0,417792.6015077573,5856149.75304747,0.6761,46
2,7.5,417792.14114455733,5856149.94137787,0.6094,46
2,8.0,417791.6598557573,5856150.08785707,0.5829,46
2,8.5,417791.17856695736,5856150.21341067,0.5992,46
2,9.0,417790.69727815734,5856150.33896427,0.7127,46
2,9.5,417790.2159893573,5856150.50636907,0.7941,46
2,10.0,417789.75562615733,5856150.69469947,0.7309,46
2,10.5,417789.29526295734,5856150.86210427,0.6902,46
2,11.0,417788.8139741573,5856150.98765787,0.4185,46
2,11.5,417788.33268535737,5856151.15506267,0.5057,46
2,12.0,417787.89324775734,5856151.36431867,0.5057,46
2,12.5,417787.43288455735,5856151.59450027,0.5244,46
2,13.0,417786.9934469573,5856151.803756271,0.5244,46
2,13.5,417786.5330837573,5856152.01301227,0.5814,46
3,0.0,417814.40598295734,5856154.44038187,0.3451,18
3,0.5,417814.1758013573,5856154.87981947,0.3551,18
3,1.0,417813.9246941573,5856155.31925707,0.3576,18
3,1.5,417813.69451255735,5856155.75869467,0.3374,18
3,2.0,417813.44340535736,5856156.19813227,0.3576,18
3,2.5,417813.1922981573,5856156.63756987,0.3374,18
3,3.0,417812.96211655735,5856157.07700747,0.3576,18
3,3.5,417812.71100935736,5856157.49551947,0.3576,18
3,4.0,417812.45990215737,5856157.93495707,0.3576,18
3,4.5,417812.2087949573,5856158.37439467,0.36,18
3,5.0,417811.97861335735,5856158.81383227,0.3948,18
3,5.5,417811.7484317573,5856159.25326987,0.4309,18
3,6.0,417811.49732455733,5856159.69270747,0.4309,18
3,6.5,417811.24621735734,5856160.11121947,0.4122,18
3,7.0,417810.99511015735,5856160.55065707,0.4122,18
3,7.5,417810.74400295736,5856160.99009467,0.4122,18
3,8.0,417810.51382135734,5856161.42953227,0.3948,18
3,8.5,417810.2836397573,5856161.86896987,0.4309,18
3,9.0,417810.05345815734,5856162.30840747,0.4508,18
3,9.5,417809.80235095735,5856162.74784507,0.4881,18
3,10.0,417809.53031815734,5856163.16635707,0.4309,18
3,10.5,417809.2582853573,5856163.58486907,0.3743,18
3,11.0,417809.0490293573,5856164.04523227,0.397,18
3,11.5,417808.81884775736,5856164.48466987,0.4508,18
3,12.0,417808.65144295734,5856164.96595867,0.4899,18
4,0.0,417814.25950375735,5856154.1683490705,0.244,26
4,0.5,417813.79914055736,5856154.33575387,0.2807,26
4,1.0,417813.33877735736,5856154.54500987,0.2254,26
4,1.5,417812.85748855735,5856154.73334027,0.2647,26
4,2.0,417812.39712535735,5856154.92167067,0.2807,26
4,2.5,417811.93676215736,5856155.08907547,0.2807,26
4,3.0,417811.45547335735,5856155.25648027,0.1872,26
4,3.5,417810.99511015735,5856155.40295947,0.2254,26
4,4.0,417810.51382135734,5856155.59128987,0.2647,26
4,4.5,417810.05345815734,5856155.77962027,0.2546,26
4,5.0,417809.59309495735,5856155.94702507,0.293,26
4,5.5,417809.13273175736,5856156.13535547,0.2807,26
4,6.0,417808.65144295734,5856156.30276027,0.2807,26
4,6.5,417808.19107975735,5856156.49109067,0.3047,26
4,7.0,417807.73071655736,5856156.67942107,0.3187,26
4,7.5,417807.27035335737,5856156.86775147,0.3187,26
4,8.0,417806.78906455735,5856157.0351562705,0.3047,26
4,8.5,417806.32870135736,5856157.20256107,0.2807,26
4,9.0,417805.86833815736,5856157.39089147,0.2511,26
4,9.5,417805.38704935735,5856157.57922187,0.2647,26
4,10.0,417804.92668615736,5856157.7466266705,0.2959,26
5,0.0,417824.2410149573,5856162.85247307,0.1872,3
5,0.5,417823.75972615735,5856162.95710107,0.3187,3
5,1.0,417823.29936295736,5856163.14543147,0.2647,3
5,1.5,417822.7971485573,5856163.2500594705,0.3348,3
5,2.0,417822.29493415734,5856163.27098507,0.3767,3
5,2.5,417821.79271975736,5856163.2500594705,0.379,3
5,3.0,417821.31143095734,5856163.22913387,0.3767,3
5,3.5,417820.80921655736,5856163.20820827,0.3767,3
5,4.0,417820.3070021573,5856163.18728267,0.3767,3
5,4.5,417819.80478775734,5856163.14543147,0.3743,3
5,5.0,417819.30257335736,5856163.10358027,0.3767,3
5,5.5,417818.8003589573,5856163.08265467,0.3348,3
5,6.0,417818.29814455734,5856163.06172907,0.3767,3
5,6.5,417817.8168557573,5856163.06172907,0.3767,3
5,7.0,417817.31464135734,5856163.06172907,0.3767,3
5,7.5,417816.81242695736,5856163.06172907,0.3767,3
5,8.0,417816.3102125573,5856163.06172907,0.3767,3
5,8.5,417815.80799815734,5856163.06172907,0.4185,3
6,0.0,417817.2518645573,5856140.14819707,0.3858,20
6,0.5,417817.41926935734,5856140.62948587,0.3187,20
6,1.0,417817.56574855733,5856141.08984907,0.2959,20
6,1.5,417817.7122277573,5856141.57113787,0.3451,20
6,2.0,417817.8587069573,5856142.05242667,0.3187,20
6,2.5,417818.00518615736,5856142.53371547,0.3451,20
6,3.0,417818.15166535735,5856143.01500427,0.3576,20
6,3.5,417818.2772189573,5856143.49629307,0.3348,20
6,4.0,417818.42369815736,5856143.97758187,0.3451,20
6,4.5,417818.54925175733,5856144.45887067,0.3018,20
6,5.0,417818.67480535735,5856144.94015947,0.2093,20
6,5.5,417818.82128455734,5856145.42144827,0.3187,20
6,6.0,417818.94683815737,5856145.90273707,0.3374,20
6,6.5,417819.07239175733,5856146.38402587,0.3187,20
6,7.0,417819.17701975734,5856146.86531467,0.397,20
6,7.5,417819.3234989573,5856147.34660347,0.3047,20
6,8.0,417819.49090375734,5856147.82789227,0.3743,20
6,8.5,417819.6373829573,5856148.30918107,0.4185,20
7,0.0,417828.15410215734,5856153.95909307,0.1674,15
7,0.5,417827.6728133573,5856154.08464667,0.2511,15
7,1.0,417827.19152455736,5856154.21020027,0.1674,15
7,1.5,417826.6893101573,5856154.27297707,0.2093,15
7,2.0,417826.18709575734,5856154.33575387,0.2511,15
7,2.5,417825.7058069573,5856154.46130747,0.1674,15
7,3.0,417825.22451815737,5856154.58686107,0.2647,15
7,3.5,417824.74322935735,5856154.71241467,0.2254,15
7,4.0,417824.26194055734,5856154.85889387,0.244,15
7,4.5,417823.7806517573,5856154.98444747,0.244,15
7,5.0,417823.29936295736,5856155.11000107,0.2511,15
7,5.5,417822.81807415735,5856155.25648027,0.2647,15
7,6.0,417822.3367853573,5856155.42388507,0.2254,15
7,6.5,417821.87642215734,5856155.57036427,0.2254,15
7,7.0,417821.3951333573,5856155.71684347,0.244,15
7,7.5,417820.91384455736,5856155.863322671,0.244,15
7,8.0,417820.43255575735,5856156.03072747,0.2254,15
8,0.0,417767.97207655734,5856117.50669787,0.3551,59
8,0.5,417767.70004375733,5856117.925209871,0.2807,59
8,1.0,417767.51171335735,5856118.3855730705,0.2647,59
8,1.5,417767.30245735735,5856118.84593627,0.3018,59
8,2.0,417767.05135015736,5856119.28537387,0.3743,59
8,2.5,417766.84209415736,5856119.72481147,0.4772,59
8,3.0,417766.67468935734,5856120.20610027,0.5177,59
8,3.5,417766.50728455733,5856120.66646347,0.5177,59
8,4.0,417766.31895415735,5856121.12682667,0.5244,59
8,4.5,417766.10969815735,5856121.58718987,0.5244,59
8,5.0,417765.9213677573,5856122.04755307,0.5057,59
8,5.5,417765.73303735733,5856122.50791627,0.4899,59
8,6.0,417765.52378135733,5856122.96827947,0.4268,59
8,6.5,417765.29359975737,5856123.407717071,0.4679,59
8,7.0,417765.08434375736,5856123.8680802705,0.4679,59
8,7.5,417764.85416215734,5856124.30751787,0.4309,59
9,0.0,417807.6470141573,5856145.5888530705,0.4604,28
9,0.5,417807.5423861573,5856146.0701418705,0.7115,28
9,1.0,417807.39590695733,5856146.551430671,0.7115,28
9,1.5,417807.2285021573,5856147.032719471,0.7115,28
9,2.0,417807.06109735736,5856147.4930826705,0.7152,28
9,2.5,417806.89369255735,5856147.9743714705,0.7309,28
9,3.0,417806.7053621573,5856148.43473467,0.7152,28
9,3.5,417806.53795735736,5856148.89509787,0.6617,28
9,4.0,417806.41240375733,5856149.37638667,0.6617,28
9,4.5,417806.22407335736,5856149.85767547,0.7115,28
9,5.0,417806.05666855734,5856150.31803867,0.6617,28
9,5.5,417805.9311149573,5856150.79932747,0.7016,28
9,6.0,417805.7846357573,5856151.28061627,0.7545,28
9,6.5,417805.6172309573,5856151.76190507,0.7416,28
9,7.0,417805.44982615736,5856152.22226827,0.6813,28
10,0.0,417760.20867895737,5856109.24108587,0.2093,62
10,0.5,417760.1668277573,5856109.74330027,0.2511,62
10,1.0,417760.10405095736,5856110.24551467,0.2093,62
10,1.5,417760.0621997573,5856110.72680347,0.2254,62
10,2.0,417759.97849735734,5856111.2290178705,0.244,62
10,2.5,417759.89479495736,5856111.731232271,0.2254,62
10,3.0,417759.8110925573,5856112.212521071,0.244,62
10,3.5,417759.7064645573,5856112.693809871,0.2134,62
10,4.0,417759.62276215735,5856113.19602427,0.2254,62
10,4.5,417759.5390597573,5856113.67731307,0.2134,62
10,5.0,417759.45535735734,5856114.17952747,0.2254,62
10,5.5,417759.37165495736,5856114.68174187,0.2134,62
10,6.0,417759.30887815735,5856115.16303067,0.2134,62
10,6.5,417759.22517575737,5856115.66524507,0.2254,62
